sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
花蓮,花蓮縣,24,,良好,1,0.38,23.4,14.7,6,5,12.2,16.7,4.5,1.1,45,"2023/12/28 13:00:00",0.3,7.5,6,0,121.599769,23.971306,63
陽明,臺北市,31,,良好,0.2,0.17,39.2,33.9,0,0,1.1,1.6,0.4,,,"2023/12/28 13:00:00",0.1,2.3,2,0,121.529583,25.182722,64
宜蘭,宜蘭縣,26,,良好,1.3,0.34,20.2,14.1,9,7,12.6,17.6,5,0.7,148,"2023/12/28 13:00:00",0.2,7.9,9,1,121.746394,24.747917,65
冬山,宜蘭縣,17,,良好,0.3,0.22,22.6,12.4,8,6,9.2,14.4,5.2,0.2,305,"2023/12/28 13:00:00",0.2,5.2,13,0,121.792928,24.632203,66
三重,新北市,67,細懸浮微粒,普通,1.3,1.55,3.3,1.4,37,23,47,149.5,102.5,-,-,"2023/12/28 13:00:00",1.5,22.1,30,1,121.493806,25.072611,67
中壢,桃園市,55,細懸浮微粒,普通,1.2,0.54,11.9,3.1,17,14,30.8,49.3,18.5,0.6,34,"2023/12/28 13:00:00",1.2,17.3,24,1,121.221667,24.953278,68
竹山,南投縣,38,,良好,0.6,0.3,19,16.3,14,9,12.7,15.7,3,1.6,83,"2023/12/28 13:00:00",0.2,11.8,14,0,120.677306,23.756389,69
永和,新北市,52,二氧化氮,普通,1.2,1.08,6.2,4.4,31,21,32.1,64.4,32.3,0.2,298,"2023/12/28 13:00:00",1.2,14.7,17,1,121.516306,25.017,70
復興,高雄市,31,,良好,1.1,0.41,24.4,20.5,18,5,,,,1.7,143,"2023/12/28 13:00:00",0.5,9.5,21,1,120.312017,22.608711,71
埔里,南投縣,25,,良好,1.5,0.36,14.3,18.9,10,4,9.8,14,4.2,0.9,124,"2023/12/28 13:00:00",0.3,7.7,11,1,120.967903,23.968842,72
馬祖,連江縣,72,細懸浮微粒,普通,2,0.3,42.9,21.2,26,17,5.7,7.7,2,2.1,331,"2023/12/28 13:00:00",0.4,24.1,37,1,119.93149378,26.15188416,75
金門,金門縣,124,細懸浮微粒,對敏感族群不健康,2.6,0.39,41.6,10,41,24,13.4,15.5,2,1.2,48,"2023/12/28 13:00:00",0.5,44.3,75,4,118.312256,24.432133,77
馬公,澎湖縣,37,,良好,0.3,0.2,38.6,33.7,25,15,4.6,5.9,1.2,4.6,24,"2023/12/28 13:00:00",0.1,11.3,21,0,119.566158,23.569031,78
關山,臺東縣,16,,良好,0.7,0.18,24.4,17.2,7,0,4.8,7.2,2.3,2,15,"2023/12/28 13:00:00",0.1,1.9,9,0,121.161933,23.045083,80
麥寮,雲林縣,60,細懸浮微粒,普通,1.8,0.44,25.1,22.1,37,33,15,19.7,4.6,3.8,356,"2023/12/28 13:00:00",0.3,19,23,1,120.251825,23.753506,83
富貴角,新北市,42,,良好,0.1,0.12,47.8,45.9,40,11,1.1,1.2,0,4.5,12,"2023/12/28 13:00:00",0.1,7.6,30,0,121.53656894,25.29681695,84
大城,彰化縣,65,細懸浮微粒,普通,0.1,0.28,23.7,19,50,31,14.4,20.1,5.7,5.3,32,"2023/12/28 13:00:00",0.2,21.2,34,0,120.26964167,23.85493056,85
彰化(員林),彰化縣,50,,良好,2.1,0.4,19.1,11.8,19,10,15.2,21.8,6.5,1.1,0,"2023/12/28 13:00:00",0.4,15.3,26,1,120.56373,23.96117,201
高雄(湖內),高雄市,23,,良好,1.6,0.18,25.2,19.5,9,2,10.7,13.6,2.9,1.1,48,"2023/12/28 13:00:00",0.2,7.2,19,1,120.24535,22.87985556,202
臺南(麻豆),臺南市,32,,良好,0.6,0.24,18.3,17.7,14,8,11.6,14.1,2.5,0.4,340,"2023/12/28 13:00:00",0.2,10,21,0,120.24583056,23.17904722,203
屏東(琉球),屏東縣,45,,良好,4.4,0.3,29.4,29.8,28,8,11.2,13.9,2.7,6.1,302,"2023/12/28 13:00:00",0.2,13.8,25,3,120.37722,22.35222,204
臺中(大甲),臺中市,42,,良好,0.3,0.25,24.1,10.8,19,15,9.4,11.8,2.4,1,35,"2023/12/28 13:00:00",0.2,13,19,0,120.65575,24.391,310
新北(樹林),新北市,42,,良好,0.8,0.38,6.7,5,13,12,25.1,37.8,12.6,0.4,233,"2023/12/28 13:00:00",0.4,11.6,13,0,121.38352778,24.94902778,311
屏東(枋山),屏東縣,75,細懸浮微粒,普通,0.5,0.15,39.5,28.2,43,11,3.7,4.2,0.4,2.7,293,"2023/12/28 13:00:00",0.2,25.2,50,1,120.651472,22.260899,313
